primary_label,inat_taxon_id,scientific_name,common_name,class_name,n_train
1161364,1161364,Guyalna cuta,Guyalna cuta,Insecta,11
116570,116570,Caiman yacare,Southern Spectacled Caiman,Reptilia,1
1176823,1176823,Leptodactylus luctator,Wrestler Frog,Amphibia,12
1491113,1491113,Adenomera guarani,Guaraní leaf-litter frog,Amphibia,0
1595929,1595929,Lysapsus limellum,Uruguay Harlequin Frog,Amphibia,5
209233,209233,Equus caballus,Feral Horse,Mammalia,2
22930,22930,Leptodactylus syphax,Basin White-lipped Frog,Amphibia,6
22956,22956,Leptodactylus mystacinus,Mustached Frog,Amphibia,32
22961,22961,Leptodactylus podicipinus,Pointedbelly Frog,Amphibia,6
22967,22967,Leptodactylus elenae,Marbled White-lipped Frog,Amphibia,8
22973,22973,Leptodactylus fuscus,Whistling Grass Frog,Amphibia,63
22983,22983,Leptodactylus labyrinthicus,Pepper Frog,Amphibia,10
22985,22985,Leptodactylus petersii,Peter's Jungle Frog,Amphibia,6
23150,23150,Physalaemus centralis,Central Dwarf Frog,Amphibia,1
23154,23154,Physalaemus albifrons,Bahia Dwarf Frog,Amphibia,5
23158,23158,Physalaemus albonotatus,Pale-legged Weeping Frog,Amphibia,25
23176,23176,Pseudopaludicola mystacalis,Cope's Swamp Froglet,Amphibia,4
23724,23724,Phyllomedusa sauvagii,Waxy Monkey Tree Frog,Amphibia,1
24279,24279,Scinax nasicus,Lesser Snouted Tree Frog,Amphibia,46
24285,24285,Scinax fuscovarius,Snouted Tree Frog,Amphibia,19
24287,24287,Scinax fuscomarginatus,Brown-bordered Snouted Tree Frog,Amphibia,11
24321,24321,Scinax acuminatus,Mato Grosso Snouted Tree Frog,Amphibia,2
244024,244024,Quesada gigas,Giant Cicada,Insecta,181
25073,25073,Chiasmocleis mehelyi,Chiasmocleis mehelyi,Amphibia,0
25092,25092,Elachistocleis bicolor,Two-colored oval frog,Amphibia,26
25214,25214,Dermatonotus muelleri,Muller's Termite Frog,Amphibia,3
326272,326272,Physalaemus biligonigerus,Weeping Frog,Amphibia,28
41970,41970,Panthera onca,Jaguar,Mammalia,21
43435,43435,Alouatta caraya,Black Howling Monkey,Mammalia,14
47144,47144,Canis familiaris,Domestic Dog,Mammalia,43
47158son01,47158,Insect son01,Insect sonotype01,Insecta,0
47158son02,47158,Insect son02,Insect sonotype02,Insecta,0
47158son03,47158,Insect son03,Insect sonotype03,Insecta,0
47158son04,47158,Insect son04,Insect sonotype04,Insecta,0
47158son05,47158,Insect son05,Insect sonotype05,Insecta,0
47158son06,47158,Insect son06,Insect sonotype06,Insecta,0
47158son07,47158,Insect son07,Insect sonotype07,Insecta,0
47158son08,47158,Insect son08,Insect sonotype08,Insecta,0
47158son09,47158,Insect son09,Insect sonotype09,Insecta,0
47158son10,47158,Insect son10,Insect sonotype10,Insecta,0
47158son11,47158,Insect son11,Insect sonotype11,Insecta,0
47158son12,47158,Insect son12,Insect sonotype12,Insecta,0
47158son13,47158,Insect son13,Insect sonotype13,Insecta,0
47158son14,47158,Insect son14,Insect sonotype14,Insecta,0
47158son15,47158,Insect son15,Insect sonotype15,Insecta,0
47158son16,47158,Insect son16,Insect sonotype16,Insecta,0
47158son17,47158,Insect son17,Insect sonotype17,Insecta,0
47158son18,47158,Insect son18,Insect sonotype18,Insecta,0
47158son19,47158,Insect son19,Insect sonotype19,Insecta,0
47158son20,47158,Insect son20,Insect sonotype20,Insecta,0
47158son21,47158,Insect son21,Insect sonotype21,Insecta,0
47158son22,47158,Insect son22,Insect sonotype22,Insecta,0
47158son23,47158,Insect son23,Insect sonotype23,Insecta,0
47158son24,47158,Insect son24,Insect sonotype24,Insecta,0
47158son25,47158,Insect son25,Insect sonotype25,Insecta,0
476521,476521,Physalaemus nattereri,Cuyaba Dwarf Frog,Amphibia,3
516975,516975,Sapajus cay,Hooded Capuchin,Mammalia,1
517063,517063,Pithecopus azureus,Southern Orange-legged Leaf Frog,Amphibia,0
555123,555123,Boana lundii,Usina Tree Frog,Amphibia,3
555145,555145,Boana punctata,Polka-dot Tree Frog,Amphibia,9
555146,555146,Boana raniceps,Chaco Tree Frog,Amphibia,18
64898,64898,Ameerega picta,Yungas de la Paz Poison Frog,Amphibia,3
65377,65377,Dendropsophus minutus,Lesser Tree Frog,Amphibia,46
65380,65380,Dendropsophus nanus,Dwarf Tree Frog,Amphibia,23
66971,66971,Pseudis platensis,Paraguayan Swimming Frog,Amphibia,5
67107,67107,Rhinella diptycha,Rococo Toad,Amphibia,14
67252,67252,Trachycephalus typhonius,Milk Frog,Amphibia,6
70711,70711,Leptodactylus macrosternum,Cei's White-lipped Frog,Amphibia,2
738183,738183,Plecturocebus pallescens,White-coated Titi,Mammalia,5
74113,74113,Bos taurus,Highland,Mammalia,10
74580,74580,Mico melanurus,Black-tailed Marmoset,Mammalia,3
760266,760266,Prionacris erosa,Prionacris erosa,Insecta,7
ashgre1,17431,Hylophilus pectoralis,Ashy-headed Greenlet,Aves,106
astcra1,508907,Mustelirallus albicollis,Ash-throated Crake,Aves,128
bafcur1,2046,Crax fasciolata,Bare-faced Curassow,Aves,51
baffal1,4699,Micrastur ruficollis,Barred Forest-Falcon,Aves,337
banana,10199,Coereba flaveola,Bananaquit,Aves,498
barant1,15764,Thamnophilus doliatus,Barred Antshrike,Aves,454
batbel1,8854,Procnias nudicollis,Bare-throated Bellbird,Aves,229
baymac,19018,Ara ararauna,Blue-and-yellow Macaw,Aves,167
bbwduc,6893,Dendrocygna autumnalis,Black-bellied Whistling Duck,Aves,491
