primary_label,common_name,scientific_name,class_name,n_positive,perch_mapped,auc_base,auc_final
1161364,Guyalna cuta,Guyalna cuta,Insecta,0,True,,
116570,Southern Spectacled Caiman,Caiman yacare,Reptilia,13,False,0.34128389596015496,0.6330935251798562
1176823,Wrestler Frog,Leptodactylus luctator,Amphibia,0,True,,
1491113,Guaraní leaf-litter frog,Adenomera guarani,Amphibia,79,False,0.6054215049002838,0.500613793242237
1595929,Uruguay Harlequin Frog,Lysapsus limellum,Amphibia,0,False,,
209233,Feral Horse,Equus caballus,Mammalia,0,True,,
22930,Basin White-lipped Frog,Leptodactylus syphax,Amphibia,0,True,,
22956,Mustached Frog,Leptodactylus mystacinus,Amphibia,0,True,,
22961,Pointedbelly Frog,Leptodactylus podicipinus,Amphibia,36,True,0.39814814814814814,0.5432787698412698
22967,Marbled White-lipped Frog,Leptodactylus elenae,Amphibia,155,True,0.6016099865834451,0.6244997958350347
22973,Whistling Grass Frog,Leptodactylus fuscus,Amphibia,212,True,0.8492087644552647,0.8053104077906268
22983,Pepper Frog,Leptodactylus labyrinthicus,Amphibia,0,True,,
22985,Peter's Jungle Frog,Leptodactylus petersii,Amphibia,0,True,,
23150,Central Dwarf Frog,Physalaemus centralis,Amphibia,0,True,,
23154,Bahia Dwarf Frog,Physalaemus albifrons,Amphibia,0,True,,
23158,Pale-legged Weeping Frog,Physalaemus albonotatus,Amphibia,175,True,0.7861699276333424,0.7745054945054946
23176,Cope's Swamp Froglet,Pseudopaludicola mystacalis,Amphibia,0,True,,
23724,Waxy Monkey Tree Frog,Phyllomedusa sauvagii,Amphibia,0,True,,
24279,Lesser Snouted Tree Frog,Scinax nasicus,Amphibia,173,True,0.807390200421371,0.8466209280968072
24285,Snouted Tree Frog,Scinax fuscovarius,Amphibia,0,True,,
24287,Brown-bordered Snouted Tree Frog,Scinax fuscomarginatus,Amphibia,0,True,,
24321,Mato Grosso Snouted Tree Frog,Scinax acuminatus,Amphibia,172,True,0.28101136758070117,0.4306338944810829
244024,Giant Cicada,Quesada gigas,Insecta,0,True,,
25073,Chiasmocleis mehelyi,Chiasmocleis mehelyi,Amphibia,12,False,0.07890325670498083,0.09614463601532565
25092,Two-colored oval frog,Elachistocleis bicolor,Amphibia,24,True,0.31901803118908384,0.3824926900584795
25214,Muller's Termite Frog,Dermatonotus muelleri,Amphibia,0,True,,
326272,Weeping Frog,Physalaemus biligonigerus,Amphibia,23,True,0.0734370041256744,0.07680101555061884
41970,Jaguar,Panthera onca,Mammalia,0,True,,
