inat_category_id,scientific_name,birdclef_primary_label,class_name,inat_class,audio_dir_name,n_audio
929,Boana lundii,555123,Amphibia,Amphibia,00929_Animalia_Chordata_Amphibia_Anura_Hylidae_Boana_lundii,1
935,Boana punctata,555145,Amphibia,Amphibia,00935_Animalia_Chordata_Amphibia_Anura_Hylidae_Boana_punctata,2
950,Dendropsophus minutus,65377,Amphibia,Amphibia,00950_Animalia_Chordata_Amphibia_Anura_Hylidae_Dendropsophus_minutus,5
952,Dendropsophus nanus,65380,Amphibia,Amphibia,00952_Animalia_Chordata_Amphibia_Anura_Hylidae_Dendropsophus_nanus,6
1152,Elachistocleis bicolor,25092,Amphibia,Amphibia,01152_Animalia_Chordata_Amphibia_Anura_Microhylidae_Elachistocleis_bicolor,3
1089,Leptodactylus elenae,22967,Amphibia,Amphibia,01089_Animalia_Chordata_Amphibia_Anura_Leptodactylidae_Leptodactylus_elenae,2
1091,Leptodactylus fuscus,22973,Amphibia,Amphibia,01091_Animalia_Chordata_Amphibia_Anura_Leptodactylidae_Leptodactylus_fuscus,8
1095,Leptodactylus labyrinthicus,22983,Amphibia,Amphibia,01095_Animalia_Chordata_Amphibia_Anura_Leptodactylidae_Leptodactylus_labyrinthicus,1
1098,Leptodactylus luctator,1176823,Amphibia,Amphibia,01098_Animalia_Chordata_Amphibia_Anura_Leptodactylidae_Leptodactylus_luctator,4
1099,Leptodactylus macrosternum,70711,Amphibia,Amphibia,01099_Animalia_Chordata_Amphibia_Anura_Leptodactylidae_Leptodactylus_macrosternum,1
1102,Leptodactylus mystacinus,22956,Amphibia,Amphibia,01102_Animalia_Chordata_Amphibia_Anura_Leptodactylidae_Leptodactylus_mystacinus,3
1105,Leptodactylus petersii,22985,Amphibia,Amphibia,01105_Animalia_Chordata_Amphibia_Anura_Leptodactylidae_Leptodactylus_petersii,1
1106,Leptodactylus podicipinus,22961,Amphibia,Amphibia,01106_Animalia_Chordata_Amphibia_Anura_Leptodactylidae_Leptodactylus_podicipinus,1
1108,Leptodactylus syphax,22930,Amphibia,Amphibia,01108_Animalia_Chordata_Amphibia_Anura_Leptodactylidae_Leptodactylus_syphax,1
1253,Phyllomedusa sauvagii,23724,Amphibia,Amphibia,01253_Animalia_Chordata_Amphibia_Anura_Phyllomedusidae_Phyllomedusa_sauvagii,1
1114,Physalaemus albonotatus,23158,Amphibia,Amphibia,01114_Animalia_Chordata_Amphibia_Anura_Leptodactylidae_Physalaemus_albonotatus,3
1115,Physalaemus biligonigerus,326272,Amphibia,Amphibia,01115_Animalia_Chordata_Amphibia_Anura_Leptodactylidae_Physalaemus_biligonigerus,6
1257,Pithecopus azureus,517063,Amphibia,Amphibia,01257_Animalia_Chordata_Amphibia_Anura_Phyllomedusidae_Pithecopus_azureus,1
1007,Pseudis platensis,66971,Amphibia,Amphibia,01007_Animalia_Chordata_Amphibia_Anura_Hylidae_Pseudis_platensis,3
827,Rhinella diptycha,67107,Amphibia,Amphibia,00827_Animalia_Chordata_Amphibia_Anura_Bufonidae_Rhinella_diptycha,2
1010,Scinax acuminatus,24321,Amphibia,Amphibia,01010_Animalia_Chordata_Amphibia_Anura_Hylidae_Scinax_acuminatus,1
1015,Scinax fuscomarginatus,24287,Amphibia,Amphibia,01015_Animalia_Chordata_Amphibia_Anura_Hylidae_Scinax_fuscomarginatus,1
1016,Scinax fuscovarius,24285,Amphibia,Amphibia,01016_Animalia_Chordata_Amphibia_Anura_Hylidae_Scinax_fuscovarius,3
1021,Scinax nasicus,24279,Amphibia,Amphibia,01021_Animalia_Chordata_Amphibia_Anura_Hylidae_Scinax_nasicus,14
1407,Accipiter striatus,shshaw,Aves,Aves,01407_Animalia_Chordata_Aves_Accipitriformes_Accipitridae_Accipiter_striatus,15
4946,Amazona aestiva,bufpar,Aves,Aves,04946_Animalia_Chordata_Aves_Psittaciformes_Psittacidae_Amazona_aestiva,8
4948,Amazona amazonica,orwpar,Aves,Aves,04948_Animalia_Chordata_Aves_Psittaciformes_Psittacidae_Amazona_amazonica,9
1544,Anhima cornuta,horscr1,Aves,Aves,01544_Animalia_Chordata_Aves_Anseriformes_Anhimidae_Anhima_cornuta,3
4963,Anodorhynchus hyacinthinus,hyamac1,Aves,Aves,04963_Animalia_Chordata_Aves_Psittaciformes_Psittacidae_Anodorhynchus_hyacinthinus,2
1593,Antrostomus rufus,rufnig1,Aves,Aves,01593_Animalia_Chordata_Aves_Caprimulgiformes_Caprimulgidae_Antrostomus_rufus,5
