species,taxon,tier,train_count,p_true,rank,top1,top5,argmax_label
orwpar,Aves,common,195,0.47902151942253113,1,1,1,orwpar
orwpar,Aves,common,195,0.5119074583053589,1,1,1,orwpar
orwpar,Aves,common,195,0.15752451121807098,2,0,1,schpar1
baymac,Aves,common,167,0.4143318235874176,2,0,1,bufpar
baymac,Aves,common,167,0.3326987326145172,1,1,1,baymac
gycwor1,Aves,common,436,0.865831196308136,1,1,1,gycwor1
gycwor1,Aves,common,436,0.9087588787078857,1,1,1,gycwor1
giwrai1,Aves,common,111,0.2815914452075958,2,0,1,coffal1
bkhpar,Aves,common,109,0.2922106683254242,1,1,1,bkhpar
blchaw1,Aves,common,58,0.3327215015888214,1,1,1,blchaw1
nacnig1,Aves,rare,18,0.22208958864212036,1,1,1,nacnig1
nacnig1,Aves,rare,18,0.42652663588523865,1,1,1,nacnig1
nacnig1,Aves,rare,18,0.047977983951568604,3,0,1,burowl
nacnig1,Aves,rare,18,0.1887788027524948,2,0,1,saffin
fusfly1,Aves,common,248,0.5686029195785522,2,0,1,plasla1
litcuc2,Aves,common,104,0.7084086537361145,1,1,1,litcuc2
camfli1,Aves,common,122,0.611422061920166,1,1,1,camfli1
bafcur1,Aves,common,51,0.2590849995613098,2,0,1,ruther1
bafcur1,Aves,common,51,0.0009684796677902341,139,0,0,greela
bbwduc,Aves,common,491,0.8107730150222778,1,1,1,bbwduc
bkcdon,Aves,common,189,0.7520578503608704,1,1,1,bkcdon
bkcdon,Aves,common,189,0.9113349914550781,1,1,1,bkcdon
bkcdon,Aves,common,189,0.7578222751617432,1,1,1,bkcdon
lesela1,Aves,common,121,0.7388215065002441,1,1,1,lesela1
lesela1,Aves,common,121,0.27541908621788025,2,0,1,yebela1
larela1,Aves,common,144,0.26871541142463684,1,1,1,larela1
larela1,Aves,common,144,0.8438993096351624,1,1,1,larela1
lesgrf1,Aves,low,30,0.5367644429206848,1,1,1,lesgrf1
chobla1,Aves,common,244,0.8192430734634399,1,1,1,chobla1
gilhum1,Aves,common,117,0.9076335430145264,1,1,1,gilhum1
gilhum1,Aves,common,117,0.706084132194519,1,1,1,gilhum1
ashgre1,Aves,common,106,0.6738823652267456,1,1,1,ashgre1
orbtro3,Aves,common,81,0.35767799615859985,2,0,1,chobla1
epaori4,Aves,common,188,0.2663838863372803,5,0,1,bncfly
epaori4,Aves,common,188,0.13675853610038757,5,0,1,masgna1
eulfly1,Aves,common,355,0.7529662847518921,1,1,1,eulfly1
eulfly1,Aves,common,355,0.797677755355835,1,1,1,eulfly1
grfdov1,Aves,common,195,0.4881647527217865,1,1,1,grfdov1
grfdov1,Aves,common,195,0.7005565762519836,1,1,1,grfdov1
grfdov1,Aves,common,195,0.5857876539230347,1,1,1,grfdov1
bobfly1,Aves,common,492,0.8875898718833923,1,1,1,bobfly1
bobfly1,Aves,common,492,0.3031337857246399,1,1,1,bobfly1
baffal1,Aves,common,337,0.4352114796638489,1,1,1,baffal1
chbmoc1,Aves,common,270,0.6344361305236816,1,1,1,chbmoc1
astcra1,Aves,common,128,0.17909717559814453,1,1,1,astcra1
astcra1,Aves,common,128,0.8633796572685242,1,1,1,astcra1
bncfly,Aves,common,492,0.6790887117385864,1,1,1,bncfly
flawar1,Aves,common,204,0.8103296160697937,1,1,1,flawar1
compot1,Aves,common,368,0.768022894859314,1,1,1,compot1
compau,Aves,common,493,0.8657199144363403,1,1,1,compau
compau,Aves,common,493,0.8836426138877869,1,1,1,compau
gretho2,Aves,common,153,0.022149283438920975,5,0,1,rufhor2
gretho2,Aves,common,153,0.47336676716804504,1,1,1,gretho2
masgna1,Aves,common,263,0.8633385896682739,1,1,1,masgna1
masgna1,Aves,common,263,0.8064571619033813,1,1,1,masgna1
batbel1,Aves,common,229,0.8498787879943848,1,1,1,batbel1
brcmar1,Aves,common,123,0.6087791919708252,1,1,1,brcmar1
brcmar1,Aves,common,123,0.7115875482559204,1,1,1,brcmar1
grasal3,Aves,common,362,0.41099366545677185,1,1,1,grasal3
grasal3,Aves,common,362,0.7886937856674194,1,1,1,grasal3
grasal3,Aves,common,362,0.6588317155838013,1,1,1,grasal3
oliwoo1,Aves,common,424,0.467549592256546,1,1,1,oliwoo1
oliwoo1,Aves,common,424,0.657900333404541,1,1,1,oliwoo1
blheag1,Aves,common,169,0.14150898158550262,2,0,1,squcuc1
cibspi1,Aves,low,41,0.059745002537965775,4,0,1,chacha1
cibspi1,Aves,low,41,0.13690927624702454,4,0,1,smbani
cibspi1,Aves,low,41,0.7480770349502563,1,1,1,cibspi1
greant1,Aves,common,475,0.5915097594261169,1,1,1,greant1
greant1,Aves,common,475,0.6774276494979858,1,1,1,greant1
barant1,Aves,common,454,0.3978923559188843,1,1,1,barant1
bunibi1,Aves,common,174,0.7791765332221985,1,1,1,bunibi1
bunibi1,Aves,common,174,0.8321264982223511,1,1,1,bunibi1
blttit1,Aves,common,71,0.33684423565864563,1,1,1,blttit1
greyel,Aves,common,475,0.7665665149688721,1,1,1,greyel
greyel,Aves,common,475,0.877875804901123,1,1,1,greyel
brnowl,Aves,common,474,0.8377684354782104,1,1,1,brnowl
rufnig1,Aves,common,256,0.9648141860961914,1,1,1,rufnig1
rufnig1,Aves,common,256,0.7634530067443848,1,1,1,rufnig1
sabspa1,Aves,common,69,0.6867681741714478,1,1,1,sabspa1
whbant2,Aves,common,75,0.30461543798446655,5,0,1,varant1
yecpar,Aves,common,243,0.3158659040927887,1,1,1,yecpar
yecpar,Aves,common,243,0.674720048904419,1,1,1,yecpar
yecpar,Aves,common,243,0.4787081480026245,1,1,1,yecpar
strher2,Aves,common,164,0.5263474583625793,1,1,1,strher2
sobcac1,Aves,common,183,0.262791246175766,2,0,1,limpki
sobcac1,Aves,common,183,0.37946557998657227,1,1,1,sobcac1
rebscy1,Aves,common,182,0.6875156760215759,1,1,1,rebscy1
y00678,Aves,common,188,0.7155879735946655,2,0,1,scadov1
y00678,Aves,common,188,0.6567814350128174,1,1,1,y00678
relser1,Aves,common,135,0.5422775745391846,1,1,1,relser1
rufcas2,Aves,common,58,0.3698939085006714,2,0,1,grekis
rufcas2,Aves,common,58,0.5353667140007019,1,1,1,rufcas2
souscr1,Aves,common,103,0.7010405659675598,1,1,1,souscr1
souscr1,Aves,common,103,0.7013192176818848,1,1,1,souscr1
swtman1,Aves,common,355,0.8134638071060181,1,1,1,swtman1
scadov1,Aves,common,164,0.795905590057373,1,1,1,scadov1
rufgna3,Aves,common,159,0.8113223314285278,1,1,1,rufgna3
rufgna3,Aves,common,159,0.623102605342865,1,1,1,rufgna3
souant1,Aves,common,159,0.23208342492580414,4,0,1,sobtyr1
smbani,Aves,common,305,0.6177595853805542,1,1,1,smbani
smbani,Aves,common,305,0.8354490995407104,1,1,1,smbani
smbani,Aves,common,305,0.8017177581787109,1,1,1,smbani
tattin1,Aves,common,138,0.6075211763381958,1,1,1,tattin1
undtin1,Aves,common,204,0.8915421962738037,1,1,1,undtin1
purjay1,Aves,common,77,0.6153364777565002,1,1,1,purjay1
purjay1,Aves,common,77,0.7301713228225708,1,1,1,purjay1
whnjay1,Aves,common,105,0.5621414184570312,1,1,1,whnjay1
wfwduc1,Aves,common,133,0.7181930541992188,1,1,1,wfwduc1
stbwoo2,Aves,common,219,0.5712480545043945,1,1,1,stbwoo2
stbwoo2,Aves,common,219,0.10805218666791916,5,0,1,bncfly
yebela1,Aves,common,297,0.5867706537246704,1,1,1,yebela1
palhor3,Aves,common,69,0.047875940799713135,14,0,0,grekis
rufhor2,Aves,common,315,0.6306444406509399,1,1,1,rufhor2
rufhor2,Aves,common,315,0.44770383834838867,1,1,1,rufhor2
rutjac1,Aves,common,265,0.0276750847697258,13,0,0,bucmot4
spbant3,Aves,common,205,0.2505642771720886,1,1,1,spbant3
spbant3,Aves,common,205,0.3059886395931244,1,1,1,spbant3
platyr1,Aves,low,36,0.39348047971725464,1,1,1,platyr1
platyr1,Aves,low,36,0.7004287242889404,1,1,1,platyr1
platyr1,Aves,low,36,0.5568304061889648,1,1,1,platyr1
platyr1,Aves,low,36,0.6575278043746948,1,1,1,platyr1
