species,sci,tier,train_count,in_train,rec_id,p_true,rank,top1,top5,argmax_label
1595929,Lysapsus limellum,very_rare,5,True,999239,0.20674066245555878,2,0,1,65380
22930,Leptodactylus syphax,rare,6,True,940773,0.5303018689155579,1,1,1,22930
22956,Leptodactylus mystacinus,low,32,True,900618,0.8253573775291443,1,1,1,22956
22961,Leptodactylus podicipinus,rare,6,False,1120002,0.020269624888896942,6,0,0,greani1
22961,Leptodactylus podicipinus,rare,6,True,1062603,0.44904839992523193,1,1,1,22961
22973,Leptodactylus fuscus,common,63,False,882797,0.574923038482666,1,1,1,22973
22973,Leptodactylus fuscus,common,63,False,882796,0.660484254360199,1,1,1,22973
22973,Leptodactylus fuscus,common,63,False,882798,0.5956604480743408,1,1,1,22973
22973,Leptodactylus fuscus,common,63,False,882795,0.7091484069824219,1,1,1,22973
22973,Leptodactylus fuscus,common,63,False,882794,0.5715991854667664,1,1,1,22973
22973,Leptodactylus fuscus,common,63,False,882793,0.7636674642562866,1,1,1,22973
22973,Leptodactylus fuscus,common,63,True,1065541,0.5536978244781494,1,1,1,22973
22973,Leptodactylus fuscus,common,63,True,1062605,0.6683481931686401,1,1,1,22973
22973,Leptodactylus fuscus,common,63,True,928991,0.06167471408843994,5,0,1,bucmot4
22973,Leptodactylus fuscus,common,63,True,892927,0.7338220477104187,1,1,1,22973
22973,Leptodactylus fuscus,common,63,True,929100,0.4270266890525818,1,1,1,22973
22973,Leptodactylus fuscus,common,63,True,929101,0.5874305963516235,1,1,1,22973
22973,Leptodactylus fuscus,common,63,True,167037,0.551085889339447,2,0,1,trokin
22973,Leptodactylus fuscus,common,63,True,892932,0.5573065280914307,1,1,1,22973
22973,Leptodactylus fuscus,common,63,True,915924,0.599054217338562,1,1,1,22973
22985,Leptodactylus petersii,rare,6,False,1078293,0.20354099571704865,2,0,1,yeofly1
22985,Leptodactylus petersii,rare,6,False,1101317,0.10453066229820251,6,0,0,bncfly
22985,Leptodactylus petersii,rare,6,False,1133721,0.21343906223773956,1,1,1,22985
22985,Leptodactylus petersii,rare,6,True,929102,0.4935225248336792,1,1,1,22985
23158,Physalaemus albonotatus,low,25,False,1073630,0.4423081874847412,2,0,1,24321
23158,Physalaemus albonotatus,low,25,False,1073628,0.21731379628181458,3,0,1,24321
23158,Physalaemus albonotatus,low,25,False,1073625,0.3254477381706238,1,1,1,23158
23158,Physalaemus albonotatus,low,25,True,926454,0.5847987532615662,1,1,1,23158
23158,Physalaemus albonotatus,low,25,True,900620,0.3969937562942505,1,1,1,23158
23158,Physalaemus albonotatus,low,25,True,1064073,0.6820425987243652,1,1,1,23158
23176,Pseudopaludicola mystacalis,very_rare,4,True,929082,0.7885329723358154,1,1,1,23176
24279,Scinax nasicus,low,46,True,1039628,0.9258689880371094,1,1,1,24279
24279,Scinax nasicus,low,46,True,1039625,0.8408961892127991,1,1,1,24279
24279,Scinax nasicus,low,46,True,1039627,0.8622394800186157,1,1,1,24279
24285,Scinax fuscovarius,rare,19,True,1063445,0.44816896319389343,1,1,1,24285
24285,Scinax fuscovarius,rare,19,True,1004236,0.1988307386636734,1,1,1,24285
24287,Scinax fuscomarginatus,rare,11,True,928990,0.6422324776649475,1,1,1,24287
24287,Scinax fuscomarginatus,rare,11,True,972398,0.6335824131965637,1,1,1,24287
24287,Scinax fuscomarginatus,rare,11,True,929112,0.6157863736152649,1,1,1,24287
24287,Scinax fuscomarginatus,rare,11,True,972399,0.6686316132545471,1,1,1,24287
25092,Elachistocleis bicolor,low,26,False,1085110,0.03736518695950508,7,0,0,24321
25092,Elachistocleis bicolor,low,26,True,1062318,0.41773250699043274,1,1,1,25092
25092,Elachistocleis bicolor,low,26,True,999247,0.3524203598499298,3,0,1,23158
25092,Elachistocleis bicolor,low,26,True,1068709,0.4623175263404846,4,0,1,24279
326272,Physalaemus biligonigerus,low,28,True,1039610,0.3693941831588745,3,0,1,24279
326272,Physalaemus biligonigerus,low,28,True,1039612,0.2794674038887024,6,0,0,24279
326272,Physalaemus biligonigerus,low,28,True,1039609,0.3245351016521454,3,0,1,23158
555145,Boana punctata,rare,9,False,882720,0.5434969663619995,1,1,1,555145
555145,Boana punctata,rare,9,False,882723,0.40915343165397644,1,1,1,555145
555145,Boana punctata,rare,9,False,882725,0.01994425430893898,25,0,0,65380
555145,Boana punctata,rare,9,False,882721,0.46837979555130005,1,1,1,555145
555145,Boana punctata,rare,9,False,882724,0.00618476839736104,108,0,0,compau
555145,Boana punctata,rare,9,False,882719,0.42784154415130615,1,1,1,555145
555145,Boana punctata,rare,9,True,929078,0.28950396180152893,3,0,1,65380
555145,Boana punctata,rare,9,True,903862,0.3584557771682739,1,1,1,555145
555146,Boana raniceps,rare,18,False,882726,0.0927673876285553,5,0,1,whtdov
555146,Boana raniceps,rare,18,False,882727,0.022025393322110176,14,0,0,hyamac1
555146,Boana raniceps,rare,18,True,1062610,0.7471582293510437,1,1,1,555146
555146,Boana raniceps,rare,18,True,949664,0.8244878053665161,1,1,1,555146
555146,Boana raniceps,rare,18,True,950136,0.726945161819458,1,1,1,555146
64898,Ameerega picta,very_rare,3,False,882669,0.0015077445423230529,168,0,0,fotfly
64898,Ameerega picta,very_rare,3,False,882668,0.0008552589570172131,194,0,0,65380
64898,Ameerega picta,very_rare,3,True,1065545,0.42458558082580566,1,1,1,64898
65377,Dendropsophus minutus,low,46,False,1078448,0.4815232753753662,1,1,1,65377
65377,Dendropsophus minutus,low,46,True,883499,0.5169515609741211,1,1,1,65377
65377,Dendropsophus minutus,low,46,True,905708,0.2582165002822876,2,0,1,yeofly1
65377,Dendropsophus minutus,low,46,True,905709,0.2701767385005951,1,1,1,65377
65377,Dendropsophus minutus,low,46,True,1006275,0.3644443452358246,1,1,1,65377
65377,Dendropsophus minutus,low,46,True,1004237,0.6093356609344482,1,1,1,65377
65377,Dendropsophus minutus,low,46,True,971980,0.2750217020511627,1,1,1,65377
65377,Dendropsophus minutus,low,46,True,1008740,0.25803402066230774,1,1,1,65377
65377,Dendropsophus minutus,low,46,True,971185,0.43692928552627563,1,1,1,65377
65377,Dendropsophus minutus,low,46,True,1043284,0.4238121509552002,2,0,1,517063
65377,Dendropsophus minutus,low,46,True,905710,0.10324599593877792,1,1,1,65377
65380,Dendropsophus nanus,low,23,False,1078450,0.35196834802627563,2,0,1,toctou1
65380,Dendropsophus nanus,low,23,True,1066017,0.07475607097148895,4,0,1,fotfly
65380,Dendropsophus nanus,low,23,True,999238,0.31973087787628174,1,1,1,65380
67107,Rhinella diptycha,rare,14,True,897239,0.7037320137023926,1,1,1,67107
67107,Rhinella diptycha,rare,14,True,952975,0.43462881445884705,1,1,1,67107
67107,Rhinella diptycha,rare,14,True,1003088,0.6114397644996643,1,1,1,67107
67107,Rhinella diptycha,rare,14,True,1039651,0.3945178985595703,1,1,1,67107
67252,Trachycephalus typhonius,rare,6,False,882998,0.0010050704004243016,198,0,0,whtdov
67252,Trachycephalus typhonius,rare,6,False,882992,0.012237980961799622,30,0,0,limpki
67252,Trachycephalus typhonius,rare,6,False,882994,0.0010530207073315978,185,0,0,limpki
67252,Trachycephalus typhonius,rare,6,False,882988,0.10095462203025818,2,0,1,whtdov
67252,Trachycephalus typhonius,rare,6,False,882996,0.000768121040891856,202,0,0,limpki
67252,Trachycephalus typhonius,rare,6,False,883000,0.004804158117622137,115,0,0,greant1
67252,Trachycephalus typhonius,rare,6,False,882997,0.010725944302976131,54,0,0,greant1
