anuraset_code,anuraset_binomial,bc26_primary_label,match_type,family
ADEDIP,Adenomera diptyx,,genus_share,Leptodactylidae
ADEMAR,Adenomera marmorata,,genus_share,Leptodactylidae
AMEPIC,Ameerega picta,Ameerega picta,direct,Dendrobatidae
BOAALB,Boana albopunctata,,genus_share,Hylidae
BOAALM,Boana albomarginata,,genus_share,Hylidae
BOABIS,Boana bischoffi,,genus_share,Hylidae
BOAFAB,Boana faber,,genus_share,Hylidae
BOALEP,Boana leptolineata,,genus_share,Hylidae
BOALUN,Boana lundii,Boana lundii,direct,Hylidae
BOAPRA,Boana prasina,,genus_share,Hylidae
BOARAN,Boana raniceps,Boana raniceps,direct,Hylidae
DENCRU,Dendropsophus cruzi,,genus_share,Hylidae
DENELE,Dendropsophus elegans,,genus_share,Hylidae
DENMIN,Dendropsophus minutus,Dendropsophus minutus,direct,Hylidae
DENNAH,Dendropsophus nahdereri,,genus_share,Hylidae
DENNAN,Dendropsophus nanus,Dendropsophus nanus,direct,Hylidae
ELABIC,Elachistocleis bicolor,Elachistocleis bicolor,direct,Microhylidae
ELAMAT,Elachistocleis matogrosso,,genus_share,Microhylidae
LEPELE,Leptodactylus elenae,Leptodactylus elenae,direct,Leptodactylidae
LEPFLA,Leptodactylus flavopictus,,genus_share,Leptodactylidae
LEPFUS,Leptodactylus fuscus,Leptodactylus fuscus,direct,Leptodactylidae
LEPLAB,Leptodactylus labyrinthicus,Leptodactylus labyrinthicus,direct,Leptodactylidae
LEPLAT,Leptodactylus latrans,Leptodactylus luctator,synonym,Leptodactylidae
LEPNOT,Leptodactylus notoaktites,,genus_share,Leptodactylidae
LEPPOD,Leptodactylus podicipinus,Leptodactylus podicipinus,direct,Leptodactylidae
PHYALB,Physalaemus albonotatus,Physalaemus albonotatus,direct,Leptodactylidae
PHYCUV,Physalaemus cuvieri,,genus_share,Leptodactylidae
PHYDIS,Phyllomedusa distincta,,genus_share,Hylidae
PHYMAR,Physalaemus marmoratus,,genus_share,Leptodactylidae
PHYNAT,Physalaemus nattereri,Physalaemus nattereri,direct,Leptodactylidae
PHYSAU,Phyllomedusa sauvagii,Phyllomedusa sauvagii,direct,Hylidae
PITAZU,Pithecopus azureus,Pithecopus azureus,direct,Hylidae
RHIICT,Rhinella icterica,,genus_share,Bufonidae
RHIORN,Rhinella ornata,,genus_share,Bufonidae
RHISCI,Rhinella scitula,,genus_share,Bufonidae
SCIALT,Scinax alter,,genus_share,Hylidae
SCIFUS,Scinax fuscomarginatus,Scinax fuscomarginatus,direct,Hylidae
SCIFUV,Scinax fuscovarius,Scinax fuscovarius,direct,Hylidae
SCINAS,Scinax nasicus,Scinax nasicus,direct,Hylidae
SCIPER,Scinax perereca,,genus_share,Hylidae
SCIRIZ,Scinax rizibilis,,genus_share,Hylidae
SPHSUR,Sphaenorhynchus surdus,,genus_share,Hylidae
