species,train_count,rank_a0.0,ptrue_a0.0,rank_a0.3,ptrue_a0.3,rank_a0.5,ptrue_a0.5,rank_a0.7,ptrue_a0.7,rank_a1.0,ptrue_a1.0
67252,6,198,0.0010050704004243016,11,0.03938482701778412,9,0.06497132778167725,6,0.09055782854557037,5,0.12893758714199066
67252,6,30,0.012237980961799622,5,0.14822164177894592,5,0.23887738585472107,3,0.3295331597328186,3,0.4655168056488037
67252,6,185,0.0010530207073315978,10,0.05869135633111,6,0.09711690992116928,6,0.13554246723651886,5,0.19318079948425293
67252,6,2,0.10095462203025818,1,0.20991365611553192,1,0.2825530171394348,2,0.3551923632621765,3,0.46415138244628906
67252,6,202,0.000768121040891856,7,0.09068051725625992,4,0.15062211453914642,4,0.21056370437145233,3,0.3004761040210724
67252,6,115,0.004804158117622137,2,0.15808691084384918,2,0.26027539372444153,2,0.36246389150619507,1,0.5157466530799866
67252,6,54,0.010725944302976131,2,0.11239086091518402,2,0.18016746640205383,2,0.24794407188892365,1,0.34960898756980896
67252,6,199,0.0006836508400738239,14,0.02981521561741829,9,0.04923625662922859,8,0.0686572939157486,8,0.09778886288404465
67252,6,148,0.00267354235984385,4,0.13974368572235107,4,0.23112377524375916,4,0.32250386476516724,4,0.45957401394844055
25092,26,7,0.03736518695950508,2,0.16735689342021942,1,0.25401800870895386,1,0.3406791090965271,1,0.47067081928253174
22973,63,1,0.574923038482666,1,0.696422278881073,1,0.7774217128753662,1,0.8584212064743042,1,0.9799204468727112
22973,63,1,0.660484254360199,1,0.7573869228363037,1,0.8219887018203735,1,0.8865904808044434,1,0.9834932088851929
22973,63,1,0.5956604480743408,1,0.48619717359542847,1,0.41322171688079834,2,0.34024620056152344,3,0.23078295588493347
22973,63,1,0.7091484069824219,1,0.7621498107910156,1,0.7974840402603149,1,0.8328182697296143,1,0.885819673538208
22973,63,1,0.5715991854667664,1,0.689077615737915,1,0.7673965692520142,1,0.8457155823707581,1,0.9631940126419067
22973,63,1,0.7636674642562866,1,0.8006239533424377,1,0.8252615928649902,1,0.849899172782898,1,0.8868556618690491
22961,6,6,0.020269624888896942,16,0.014300169423222542,23,0.010320532135665417,41,0.006340895779430866,213,0.0003714397898875177
555146,18,5,0.0927673876285553,6,0.10443784296512604,5,0.11221814900636673,6,0.11999845504760742,5,0.13166891038417816
555146,18,14,0.022025393322110176,12,0.026175810024142265,12,0.02894275262951851,11,0.0317096970975399,11,0.03586011379957199
22985,6,2,0.20354099571704865,2,0.17173051834106445,4,0.15052354335784912,7,0.1293165534734726,9,0.097506083548069
22985,6,6,0.10453066229820251,7,0.08598797023296356,10,0.07362619042396545,13,0.06126439571380615,21,0.0427217110991478
22985,6,1,0.21343906223773956,1,0.16854523122310638,1,0.13861602544784546,3,0.10868680477142334,9,0.06379298120737076
23158,25,2,0.4423081874847412,1,0.48825007677078247,1,0.5188779830932617,2,0.5495059490203857,2,0.595447838306427
23158,25,3,0.21731379628181458,2,0.4038512706756592,1,0.5282096266746521,1,0.6525679230690002,1,0.8391054272651672
23158,25,1,0.3254477381706238,1,0.47538796067237854,1,0.5753481388092041,1,0.6753082275390625,1,0.8252484798431396
64898,3,168,0.0015077445423230529,59,0.008973896503448486,35,0.01395132951438427,24,0.018928762525320053,17,0.026394914835691452
64898,3,194,0.0008552589570172131,128,0.003954463172703981,92,0.006020599044859409,70,0.008086735382676125,50,0.01118593942373991
65377,46,1,0.4815232753753662,1,0.33930298686027527,1,0.24448949098587036,1,0.14967596530914307,28,0.007455691695213318
65380,23,2,0.35196834802627563,1,0.4238540232181549,1,0.4717777967453003,1,0.5197016000747681,1,0.591587245464325
555145,9,1,0.5434969663619995,1,0.4623989462852478,1,0.4083336293697357,1,0.35426831245422363,2,0.2731702923774719
555145,9,1,0.40915343165397644,1,0.5183863639831543,1,0.591208279132843,1,0.6640302538871765,1,0.773263156414032
555145,9,25,0.01994425430893898,23,0.024899402633309364,23,0.028202833607792854,20,0.031506266444921494,19,0.03646141290664673
555145,9,1,0.46837979555130005,1,0.5058178901672363,1,0.5307766199111938,1,0.5557353496551514,1,0.5931734442710876
555145,9,108,0.00618476839736104,93,0.009174859151244164,76,0.011168251745402813,65,0.013161645270884037,51,0.016151735559105873
555145,9,1,0.42784154415130615,2,0.3136090636253357,4,0.23745405673980713,6,0.16129906475543976,16,0.0470665767788887
