species,train_count,rank_a0.0,ptrue_a0.0,rank_a0.3,ptrue_a0.3,rank_a0.5,ptrue_a0.5,rank_a0.7,ptrue_a0.7,rank_a1.0,ptrue_a1.0
67252,6,198,0.0010050704004243016,52,0.011103830300271511,34,0.01783633790910244,28,0.024568842723965645,17,0.03466760367155075
67252,6,30,0.012237980961799622,11,0.05461414158344269,8,0.082864910364151,7,0.11111567914485931,7,0.15349183976650238
67252,6,185,0.0010530207073315978,32,0.01535254530608654,19,0.02488555945456028,17,0.03441857174038887,14,0.04871809855103493
67252,6,2,0.10095462203025818,6,0.09018514305353165,9,0.08300548791885376,10,0.07582584023475647,11,0.06505636125802994
67252,6,202,0.000768121040891856,33,0.02054283395409584,24,0.03372597321867943,18,0.046909116208553314,13,0.066683828830719
67252,6,115,0.004804158117622137,25,0.021274903789162636,17,0.032255399972200394,11,0.043235894292593,8,0.059706639498472214
67252,6,54,0.010725944302976131,20,0.02320992574095726,17,0.03153257817029953,10,0.0398552343249321,11,0.05233921483159065
67252,6,199,0.0006836508400738239,19,0.020678561180830002,14,0.03400849923491478,11,0.04733843728899956,8,0.06733334809541702
67252,6,148,0.00267354235984385,7,0.06982680410146713,3,0.11459563672542572,3,0.1593644767999649,3,0.22651773691177368
25092,26,7,0.03736518695950508,1,0.26298680901527405,1,0.41340121626853943,1,0.5638155937194824,1,0.7894372344017029
22973,63,1,0.574923038482666,1,0.6779071092605591,1,0.7465630769729614,1,0.8152190446853638,1,0.9182031154632568
22973,63,1,0.660484254360199,1,0.7618939876556396,1,0.8295004367828369,1,0.8971068859100342,1,0.9985166192054749
22973,63,1,0.5956604480743408,1,0.584534764289856,1,0.5771176815032959,1,0.5697005987167358,1,0.558574914932251
22973,63,1,0.7091484069824219,1,0.7815072536468506,1,0.8297464847564697,1,0.8779856562614441,1,0.9503445029258728
22973,63,1,0.5715991854667664,1,0.6990553140640259,1,0.784026026725769,1,0.8689967393875122,1,0.996452808380127
22973,63,1,0.7636674642562866,1,0.8327480554580688,1,0.878801703453064,1,0.9248554110527039,1,0.9939360022544861
22961,6,6,0.020269624888896942,13,0.014705440029501915,18,0.010995983146131039,25,0.007286527194082737,112,0.0017223417526111007
555146,18,5,0.0927673876285553,5,0.08727552741765976,7,0.0836142897605896,7,0.07995305210351944,9,0.0744611918926239
555146,18,14,0.022025393322110176,9,0.03560211881995201,9,0.0446532666683197,8,0.05370441824197769,7,0.06728114187717438
22985,6,2,0.20354099571704865,3,0.15065360069274902,5,0.11539534479379654,8,0.08013708889484406,21,0.027249692007899284
22985,6,6,0.10453066229820251,8,0.08619354665279388,9,0.073968805372715,9,0.06174406036734581,15,0.04340694472193718
22985,6,1,0.21343906223773956,2,0.15162304043769836,2,0.1104123666882515,5,0.06920168548822403,45,0.00738566555082798
23158,25,2,0.4423081874847412,1,0.5583376884460449,1,0.6356906294822693,1,0.7130435705184937,1,0.8290730714797974
23158,25,3,0.21731379628181458,3,0.35754889249801636,2,0.4510389566421509,1,0.5445290207862854,1,0.6847640872001648
23158,25,1,0.3254477381706238,1,0.427925169467926,1,0.4962434470653534,1,0.5645617246627808,1,0.667039155960083
64898,3,168,0.0015077445423230529,151,0.0026664084289222956,133,0.0034388508647680283,124,0.004211293533444405,103,0.005369957070797682
64898,3,194,0.0008552589570172131,201,0.000927746994420886,201,0.0009760723914951086,199,0.0010243977885693312,194,0.0010968857677653432
65377,46,1,0.4815232753753662,1,0.4770611822605133,1,0.4740864336490631,1,0.4711116850376129,1,0.46664959192276
65380,23,2,0.35196834802627563,2,0.3917517066001892,1,0.41827392578125,1,0.4447961449623108,1,0.48457950353622437
555145,9,1,0.5434969663619995,1,0.4852869510650635,1,0.44648027420043945,1,0.40767359733581543,1,0.3494635820388794
555145,9,1,0.40915343165397644,1,0.5801696181297302,1,0.6941803693771362,1,0.808191180229187,1,0.9792073369026184
555145,9,25,0.01994425430893898,2,0.1893499493598938,2,0.3022870719432831,2,0.41522419452667236,2,0.5846298933029175
555145,9,1,0.46837979555130005,1,0.519596517086029,1,0.5537410378456116,1,0.5878855586051941,1,0.6391022801399231
555145,9,108,0.00618476839736104,131,0.005114445462822914,146,0.004400897305458784,157,0.0036873489152640104,167,0.002617026213556528
555145,9,1,0.42784154415130615,1,0.3080172836780548,2,0.228134423494339,2,0.14825157821178436,13,0.028427300974726677
