species,pos,auc_v1,auc_v3,delta
65380,666,0.8937632213494282,0.5252943830530038,-0.3684688382964244
517063,626,0.7328406005789797,0.39286812461563847,-0.33997247596334124
22973,426,0.7384838179903248,0.5335087202556275,-0.20497509773469735
555146,420,0.9238837879197048,0.6666149068322982,-0.25726888108740664
23158,350,0.8605952380952382,0.6650430597771024,-0.19555217831813576
24279,346,0.9104863252925917,0.8475127147204804,-0.06297361057211126
24321,344,0.34949602149214554,0.5002999261720191,0.1508039046798736
22967,310,0.8407617101193108,0.6423663278833407,-0.19839538223597009
66971,298,0.2560203617335912,0.5972414969855534,0.3412211352519622
1491113,158,0.7596806674338319,0.47904200230149596,-0.28063866513233593
22961,72,0.7132132132132133,0.6328236130867709,-0.08038960012644236
25092,48,0.8946095571095571,0.6294289044289045,-0.2651806526806526
326272,46,0.5171241195044936,0.4809934418265727,-0.03613067767792083
25073,24,0.2757336084364971,0.3148784961027052,0.039144887666208106
65377,18,0.928234398782344,0.46187214611872146,-0.4663622526636226
67107,18,0.3299847792998478,0.1450532724505327,-0.1849315068493151
67252,4,0.9966078697421981,0.8799185888738128,-0.11668928086838526
