primary_label,n,median_km,p25_km,p75_km,min_km,max_km,scientific_name,common_name,class_name
redjun,208,17129.031537399045,15401.808939424127,17394.96082038609,2273.960516573653,19450.911190409195,Gallus gallus,Red Junglefowl,Aves
47144,43,14879.071616079116,11428.010554242319,19421.48421360305,1756.3896307019252,19500.203949312952,Canis familiaris,Domestic Dog,Mammalia
houspa,496,9102.44566335687,7177.9047624904415,9871.537985638675,834.5229458358463,17046.175108047646,Passer domesticus,House Sparrow,Aves
74113,10,8166.624418825261,8166.624418825261,8893.185727782047,5309.065601500568,12630.203704511649,Bos taurus,Highland,Mammalia
209233,2,7619.129696441238,6878.851545363953,8359.407847518523,6138.573394286667,9099.685998595809,Equus caballus,Feral Horse,Mammalia
shshaw,101,7337.55723312092,6842.100853542731,7951.318370973557,1090.4849291475114,10838.794830779896,Accipiter striatus,Sharp-shinned Hawk,Aves
greyel,475,7325.977870698021,6690.762668941423,8762.73436682361,692.4658331241212,12133.383744084687,Tringa melanoleuca,Greater Yellowlegs,Aves
brnowl,474,7195.626499580527,3708.641377148566,9237.091284228634,121.68894511714574,9988.601922233418,Tyto furcata,American Barn Owl,Aves
osprey,495,7141.055931873377,6515.373713517006,9567.135274318764,1283.8016902798583,19333.07458540542,Pandion haliaetus,Osprey,Aves
bbwduc,491,6242.498498771853,4468.8306350737,6818.115859071391,136.98834291469132,9361.216163222238,Dendrocygna autumnalis,Black-bellied Whistling Duck,Aves
bkhpar,109,5752.7710425572905,1732.6255115254937,6776.811717508251,40.79749416464107,9044.148015934674,Aratinga nenday,Nanday Parakeet,Aves
bncfly,492,5652.995450232042,1654.755413492617,7668.3466257651,249.64645975006897,8880.49575056503,Myiarchus tyrannulus,Brown-crested Flycatcher,Aves
limpki,405,5629.286638389562,1762.6052590266522,5923.2091472764405,136.98834291469132,8019.744847971551,Aramus guarauna,Limpkin,Aves
bucpar,124,5597.066932353115,1276.1338315362766,8107.76489340535,82.22347144772066,11893.418023139082,Thectocercus acuticaudatus,Blue-crowned Parakeet,Aves
244024,181,4963.495785750023,1591.4885309846984,6833.789584566494,771.4886561750474,7232.575199518148,Quesada gigas,Giant Cicada,Insecta
fepowl,497,4405.14175698299,1736.8745896516054,5895.589514106686,121.49537773831621,8243.333660994433,Glaucidium brasilianum,Ferruginous Pygmy Owl,Aves
socfly1,494,4254.271481330265,1777.4170147882242,6013.759500596307,622.2822811529171,7729.877198981408,Myiozetetes similis,Social Flycatcher,Aves
trokin,483,4231.083410365117,2303.249883852248,6689.992011823268,40.79749416464107,10050.252031346296,Tyrannus melancholicus,Tropical Kingbird,Aves
coffal1,495,3523.5299029201683,1450.172467263955,5583.4448713117745,291.7334239167746,7246.40353336195,Micrastur semitorquatus,Collared Forest-Falcon,Aves
grekis,482,3462.5945121110417,1499.713176168645,6257.476659250249,107.82855125522252,7725.795905240018,Pitangus sulphuratus,Great Kiskadee,Aves
compau,493,3346.748708015083,1541.8769171342162,5513.28516357329,190.57187090982376,7248.534676184927,Nyctidromus albicollis,Pauraque,Aves
wfwduc1,133,3295.8159184993865,1446.679491812654,8557.988177381849,407.32205134472724,11188.623755090204,Dendrocygna viduata,White-faced Whistling Duck,Aves
strher2,164,3281.5554027689036,1439.3770467636905,14220.091783552243,136.98834291469132,19351.56177121173,Butorides striata,Striated Heron,Aves
phecuc1,149,3257.0373868918464,1710.5518366506565,5396.137345200451,408.2766286489398,5942.536448797188,Dromococcyx phasianellus,Pheasant Cuckoo,Aves
roahaw,489,3141.1482781973023,1600.0289562061062,4054.1403843660714,533.3036751142291,6704.839872314395,Rupornis magnirostris,Roadside Hawk,Aves
whtdov,491,3130.978986979865,1450.8118632290202,5829.292313239697,136.98834291469132,8009.302242380011,Leptotila verreauxi,White-tipped Dove,Aves
smbani,305,3077.0847003827184,1304.429133873906,3754.9073634680576,40.79749416464107,6484.495519023661,Crotophaga ani,Smooth-billed Ani,Aves
rumfly1,247,3062.4009617468837,1377.5776718166603,3290.276267201289,117.20181911130743,4228.509657794776,Myiozetetes cayanensis,Rusty-margined Flycatcher,Aves
